"Geneid";"Entity";"t0";"t1";"t4";"t7";"t10";"t20";"Gene";"Gene Type";"Funtion/Product"
"gene-b0001";"U00096.3";"+";"-";"-";"-";"-";"-";"thrL";"protein_coding";"thr operon leader peptide"
"gene-b0019";"U00096.3";"-";"+";"-";"-";"-";"-";"nhaA";"protein_coding";"Na(+):H(+) antiporter NhaA"
"gene-b0023";"U00096.3";"+";"+";"-";"-";"-";"-";"rpsT";"protein_coding";"30S ribosomal subunit protein S20"
"gene-b0024";"U00096.3";"+";"-";"+";"-";"-";"-";"yaaY";"protein_coding";"DUF2575 domain-containing protein YaaY"
"gene-b0032";"U00096.3";"-";"+";"-";"-";"-";"-";"carA";"protein_coding";"carbamoyl-phosphate synthetase small subunit"
"gene-b0081";"U00096.3";"+";"+";"+";"-";"-";"-";"mraZ";"protein_coding";"DNA-binding transcriptional repressor MraZ"
"gene-b0113";"U00096.3";"-";"+";"+";"-";"-";"-";"pdhR";"protein_coding";"DNA-binding transcriptional dual regulator PdhR"
"gene-b0126";"U00096.3";"+";"+";"+";"+";"-";"-";"can";"protein_coding";"carbonic anhydrase 2"
"gene-b0132";"U00096.3";"+";"-";"-";"-";"-";"-";"rpnC";"protein_coding";"recombination-promoting nuclease RpnC"
"gene-b0146";"U00096.3";"+";"-";"-";"-";"-";"-";"sfsA";"protein_coding";"sugar fermentation stimulation protein A"
"gene-b0154";"U00096.3";"+";"+";"-";"-";"-";"-";"hemL";"protein_coding";"glutamate-1-semialdehyde 2%2C1-aminomutase"
"gene-b0156";"U00096.3";"+";"+";"+";"-";"-";"-";"erpA";"protein_coding";"iron-sulfur cluster insertion protein ErpA"
"gene-b0172";"U00096.3";"-";"+";"-";"-";"-";"-";"frr";"protein_coding";"ribosome-recycling factor"
"gene-b0179";"U00096.3";"+";"+";"+";"-";"-";"-";"lpxD";"protein_coding";"UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase"
"gene-b0180";"U00096.3";"+";"-";"-";"-";"-";"-";"fabZ";"protein_coding";"3-hydroxy-acyl-[acyl-carrier-protein] dehydratase"
"gene-b0209";"U00096.3";"+";"+";"+";"+";"-";"+";"yafD";"protein_coding";"endonuclease/exonuclease/phosphatase domain-containing protein YafD"
"gene-b0237";"U00096.3";"+";"+";"+";"+";"+";"-";"pepD";"protein_coding";"peptidase D"
"gene-b0425";"U00096.3";"+";"-";"-";"-";"-";"-";"panE";"protein_coding";"2-dehydropantoate 2-reductase"
"gene-b0432";"U00096.3";"-";"+";"-";"-";"-";"-";"cyoA";"protein_coding";"cytochrome bo3 subunit 2"
"gene-b0451";"U00096.3";"-";"+";"+";"-";"-";"-";"amtB";"protein_coding";"ammonium transporter"
"gene-b0473";"U00096.3";"+";"-";"+";"-";"-";"-";"htpG";"protein_coding";"chaperone protein HtpG"
"gene-b0618";"U00096.3";"-";"+";"+";"-";"-";"-";"citC";"protein_coding";"citrate lyase synthetase"
"gene-b0677";"U00096.3";"+";"+";"+";"-";"-";"-";"nagA";"protein_coding";"N-acetylglucosamine-6-phosphate deacetylase"
"gene-b0755";"U00096.3";"+";"+";"+";"+";"-";"-";"gpmA";"protein_coding";"2%2C3-bisphosphoglycerate-dependent phosphoglycerate mutase"
"gene-b0762";"U00096.3";"-";"-";"+";"-";"-";"-";"acrZ";"protein_coding";"multidrug efflux pump accessory protein AcrZ"
"gene-b0766";"U00096.3";"+";"-";"-";"-";"-";"-";"ybhA";"protein_coding";"pyridoxal phosphate/fructose-1%2C6-bisphosphate phosphatase"
"gene-b0817";"U00096.3";"-";"+";"-";"-";"-";"-";"mntR";"protein_coding";"DNA-binding transcriptional dual regulator MntR"
"gene-b0929";"U00096.3";"+";"-";"+";"-";"-";"-";"ompF";"protein_coding";"outer membrane porin F"
"gene-b0971";"U00096.3";"-";"+";"+";"-";"+";"-";"serT";"tRNA";"tRNA-Ser"
"gene-b0991";"U00096.3";"+";"-";"-";"-";"-";"-";"ymcE";"protein_coding";"protein YmcE"
"gene-b1048";"U00096.3";"+";"+";"-";"-";"-";"-";"opgG";"protein_coding";"osmoregulated periplasmic glucans biosynthesis protein G"
"gene-b1088";"U00096.3";"-";"+";"-";"-";"-";"-";"yceD";"protein_coding";"DUF177 domain-containing protein YceD"
"gene-b1093";"U00096.3";"-";"-";"+";"-";"-";"-";"fabG";"protein_coding";"3-oxoacyl-[acyl-carrier-protein] reductase FabG"
"gene-b1094";"U00096.3";"+";"+";"+";"+";"+";"+";"acpP";"protein_coding";"acyl carrier protein"
"gene-b1095";"U00096.3";"+";"+";"+";"-";"-";"-";"fabF";"protein_coding";"3-oxoacyl-[acyl carrier protein] synthase 2"
"gene-b1162";"U00096.3";"+";"+";"-";"-";"-";"-";"bluR";"protein_coding";"DNA-binding transcriptional repressor BluR"
"gene-b1176";"U00096.3";"+";"-";"-";"-";"-";"-";"minC";"protein_coding";"Z-ring positioning protein MinC"
"gene-b1334";"U00096.3";"+";"+";"+";"-";"-";"-";"fnr";"protein_coding";"DNA-binding transcriptional dual regulator FNR"
"gene-b1380";"U00096.3";"-";"+";"+";"-";"-";"-";"ldhA";"protein_coding";"D-lactate dehydrogenase"
"gene-b1656";"U00096.3";"+";"+";"+";"+";"+";"+";"sodB";"protein_coding";"superoxide dismutase (Fe)"
"gene-b1712";"U00096.3";"+";"+";"+";"-";"-";"-";"ihfA";"protein_coding";"integration host factor subunit alpha"
"gene-b1713";"U00096.3";"+";"+";"+";"-";"+";"+";"pheT";"protein_coding";"phenylalanine--tRNA ligase subunit beta"
"gene-b1719";"U00096.3";"+";"+";"+";"+";"-";"-";"thrS";"protein_coding";"threonine--tRNA ligase"
"gene-b1779";"U00096.3";"+";"-";"-";"+";"-";"-";"gapA";"protein_coding";"glyceraldehyde-3-phosphate dehydrogenase A"
"gene-b1826";"U00096.3";"+";"+";"-";"-";"-";"-";"mgrB";"protein_coding";"PhoQ kinase inhibitor"
"gene-b1848";"U00096.3";"-";"+";"+";"-";"-";"-";"yebG";"protein_coding";"DNA damage-inducible protein YebG"
"gene-b1909";"U00096.3";"-";"+";"-";"-";"-";"-";"leuZ";"tRNA";"tRNA-Leu"
"gene-b1911";"U00096.3";"+";"+";"+";"+";"-";"+";"glyW";"tRNA";"tRNA-Gly"
"gene-b1986";"U00096.3";"+";"+";"-";"+";"-";"+";"asnU";"tRNA";"tRNA-Asn"
"gene-b2027";"U00096.3";"+";"+";"+";"+";"-";"+";"wzzB";"protein_coding";"O-antigen co-polymerase"
"gene-b2028";"U00096.3";"-";"+";"-";"-";"-";"-";"ugd";"protein_coding";"UDP-glucose 6-dehydrogenase"
"gene-b2252";"U00096.3";"+";"+";"+";"-";"-";"-";"ais";"protein_coding";"putative lipopolysaccharide core heptose(II)-phosphate phosphatase"
"gene-b2296";"U00096.3";"-";"+";"-";"-";"-";"-";"ackA";"protein_coding";"acetate kinase"
"gene-b2314";"U00096.3";"+";"-";"-";"-";"-";"-";"dedD";"protein_coding";"cell division protein DedD"
"gene-b2315";"U00096.3";"+";"-";"-";"-";"-";"-";"folC";"protein_coding";"bifunctional folylpolyglutamate synthetase/dihydrofolate synthetase"
"gene-b2399";"U00096.3";"+";"-";"-";"-";"-";"-";"yfeD";"protein_coding";"putative DNA-binding transcriptional regulator YfeD"
"gene-b2401";"U00096.3";"+";"+";"+";"+";"+";"+";"valU";"tRNA";"tRNA-Val"
"gene-b2402";"U00096.3";"+";"+";"+";"+";"+";"-";"valX";"tRNA";"tRNA-Val"
"gene-b2403";"U00096.3";"-";"+";"+";"-";"-";"-";"valY";"tRNA";"tRNA-Val"
"gene-b2413";"U00096.3";"-";"+";"-";"-";"-";"-";"cysZ";"protein_coding";"sulfate:H(+) symporter"
"gene-b2426";"U00096.3";"+";"+";"+";"-";"-";"+";"ucpA";"protein_coding";"oxidoreductase UcpA"
"gene-b2476";"U00096.3";"-";"+";"+";"-";"-";"+";"purC";"protein_coding";"phosphoribosylaminoimidazole-succinocarboxamide synthase"
"gene-b2478";"U00096.3";"+";"+";"-";"-";"-";"-";"dapA";"protein_coding";"4-hydroxy-tetrahydrodipicolinate synthase"
"gene-b2504";"U00096.3";"+";"+";"+";"-";"-";"-";"yfgG";"protein_coding";"nickel/cobalt stress response protein YfgG"
"gene-b2508";"U00096.3";"-";"+";"-";"-";"-";"-";"guaB";"protein_coding";"inosine 5'-monophosphate dehydrogenase"
"gene-b2532";"U00096.3";"-";"+";"+";"+";"-";"-";"trmJ";"protein_coding";"tRNA Cm32/Um32 methyltransferase"
"gene-b2677";"U00096.3";"+";"+";"+";"+";"-";"-";"proV";"protein_coding";"glycine betaine ABC transporter ATP binding subunit ProV"
"gene-b2696";"U00096.3";"-";"+";"+";"-";"-";"-";"csrA";"protein_coding";"carbon storage regulator"
"gene-b2697";"U00096.3";"+";"-";"-";"-";"-";"-";"alaS";"protein_coding";"alanine--tRNA ligase/DNA-binding transcriptional repressor"
"gene-b2795";"U00096.3";"+";"+";"-";"+";"-";"-";"ppnN";"protein_coding";"nucleotide 5'-monophosphate nucleosidase"
"gene-b2814";"U00096.3";"+";"+";"+";"+";"-";"-";"metZ";"tRNA";"tRNA-Met"
"gene-b2815";"U00096.3";"-";"+";"+";"+";"+";"-";"metW";"tRNA";"tRNA-Met"
"gene-b2816";"U00096.3";"-";"-";"+";"-";"-";"-";"metV";"tRNA";"tRNA-Met"
"gene-b2830";"U00096.3";"+";"+";"-";"-";"-";"-";"rppH";"protein_coding";"RNA pyrophosphohydrolase"
"gene-b2894";"U00096.3";"-";"-";"+";"-";"-";"-";"xerD";"protein_coding";"site-specific recombinase"
"gene-b2910";"U00096.3";"+";"-";"-";"+";"-";"-";"zapA";"protein_coding";"cell division protein ZapA"
"gene-b2911";"U00096.3";"-";"-";"-";"+";"+";"+";"ssrS";"ncRNA";"6S RNA"
"gene-b2924";"U00096.3";"+";"+";"+";"+";"-";"-";"mscS";"protein_coding";"small conductance mechanosensitive channel MscS"
"gene-b2927";"U00096.3";"+";"+";"+";"-";"-";"-";"epd";"protein_coding";"D-erythrose-4-phosphate dehydrogenase"
"gene-b3022";"U00096.3";"+";"+";"-";"-";"-";"-";"mqsR";"protein_coding";"mRNA interferase toxin MqsR"
"gene-b3065";"U00096.3";"+";"+";"+";"+";"-";"-";"rpsU";"protein_coding";"30S ribosomal subunit protein S21"
"gene-b3069";"U00096.3";"-";"-";"+";"-";"-";"-";"ileX";"tRNA";"tRNA-Ile"
"gene-b3094";"U00096.3";"+";"-";"-";"-";"-";"-";"exuR";"protein_coding";"DNA-binding transcriptional repressor ExuR"
"gene-b3171";"U00096.3";"+";"+";"+";"+";"-";"-";"metY";"tRNA";"tRNA-Met"
"gene-b3180";"U00096.3";"+";"-";"-";"-";"-";"-";"yhbY";"protein_coding";"ribosome assembly factor YhbY"
"gene-b3231";"U00096.3";"+";"+";"+";"+";"+";"+";"rplM";"protein_coding";"50S ribosomal subunit protein L13"
"gene-b3233";"U00096.3";"+";"+";"-";"-";"-";"-";"zapG";"protein_coding";"Z-ring associated protein G"
"gene-b3279";"U00096.3";"+";"-";"-";"-";"-";"-";"yrdA";"protein_coding";"hexapeptide repeat-containing protein YrdA"
"gene-b3296";"U00096.3";"+";"-";"-";"-";"-";"-";"rpsD";"protein_coding";"30S ribosomal subunit protein S4"
"gene-b3300";"U00096.3";"+";"+";"+";"-";"+";"+";"secY";"protein_coding";"Sec translocon subunit SecY"
"gene-b3349";"U00096.3";"+";"-";"-";"-";"-";"-";"slyD";"protein_coding";"FKBP-type peptidyl-prolyl cis-trans isomerase SlyD"
"gene-b3426";"U00096.3";"+";"-";"-";"-";"-";"-";"glpD";"protein_coding";"aerobic glycerol 3-phosphate dehydrogenase"
"gene-b3472";"U00096.3";"-";"+";"-";"-";"-";"-";"dcrB";"protein_coding";"periplasmic bacteriophage sensitivity protein DcrB"
"gene-b3499";"U00096.3";"-";"+";"+";"-";"-";"-";"rlmJ";"protein_coding";"23S rRNA m(6)A2030 methyltransferase"
"gene-b3556";"U00096.3";"+";"+";"+";"+";"+";"+";"cspA";"protein_coding";"cold shock protein CspA"
"gene-b3557";"U00096.3";"+";"-";"+";"-";"-";"-";"insJ";"protein_coding";"insertion element IS150 protein InsA"
"gene-b3558";"U00096.3";"+";"+";"-";"+";"-";"-";"insK";"protein_coding";"IS150 family conserved protein InsB"
"gene-b3615";"U00096.3";"+";"+";"+";"-";"-";"-";"waaH";"protein_coding";"UDP-glucuronate:LPS(HepIII) glycosyltransferase"
"gene-b3619";"U00096.3";"+";"+";"+";"-";"-";"-";"rfaD";"protein_coding";"ADP-L-glycero-D-mannoheptose 6-epimerase"
"gene-b3685";"U00096.3";"+";"-";"-";"-";"-";"-";"yidE";"protein_coding";"putative transport protein YidE"
"gene-b3748";"U00096.3";"-";"+";"-";"-";"-";"-";"rbsD";"protein_coding";"D-ribose pyranase"
"gene-b3766";"U00096.3";"+";"-";"+";"-";"-";"-";"ilvL";"protein_coding";"ilvXGMEDA operon leader peptide"
"gene-b3782";"U00096.3";"+";"-";"-";"-";"-";"-";"rhoL";"protein_coding";"rho operon leader peptide"
"gene-b3804";"U00096.3";"-";"+";"+";"-";"-";"-";"hemD";"protein_coding";"uroporphyrinogen-III synthase"
"gene-b3833";"U00096.3";"-";"+";"-";"-";"-";"-";"ubiE";"protein_coding";"bifunctional 2-octaprenyl-6-methoxy-1%2C4-benzoquinol methylase and demethylmenaquinone methyltransferase"
"gene-b3864";"U00096.3";"-";"-";"+";"-";"+";"-";"spf";"ncRNA";"small regulatory RNA Spot 42"
"gene-b3870";"U00096.3";"-";"+";"-";"-";"-";"-";"glnA";"protein_coding";"glutamine synthetase"
"gene-b3908";"U00096.3";"+";"+";"+";"+";"-";"-";"sodA";"protein_coding";"superoxide dismutase (Mn)"
"gene-b3919";"U00096.3";"+";"+";"-";"-";"-";"-";"tpiA";"protein_coding";"triose-phosphate isomerase"
